full_posRef,next_move_Ref,nb_W,nb_L,nb_D
5a124b3c2d3e6g9i8_5b2c34d456e4g4h4,a1a3,1,0,0
5a124b36c4d4e3f9_5b45c356d56e6f7,e3e4,1,0,0
5a124b245d12e5_5a35b3c235d6g4i6,d6c4,1,0,0
5a123c35d5e6f6g7_5b45c46d467e78,b5b3,1,0,0
5a123b4c5d57e68_5b35c234d6e7f5g6,a3a4,1,0,0
5a123b235c36d3_5b4c245d45e56f6,b5d7,1,0,0
5a123b235c23d1_5d345e245f456,d5d2,1,0,0
5a1234c6d7e4g3i6_5b45c45d56e6g8h9,a3b1,1,0,0
5a1234b235c3d3_5b4c245d45e5f6g6,a4c6,1,0,0
4c34d456e3456f5_5e7f6789g78h89,e4e7,1,0,0
4c345d345e456f6_5f5g567h568i67,d3d6,1,0,0
4c345d345e456f5_5f6g567h5678i8,c4f4,1,0,0
4c345d345e345f6_5e678f789g789,c5f5,1,0,0
4b3c5d56e467f467_5d4e5f58g567h69,c5f8,1,0,0
4b3c4e3457f456g7_5b12c123d234g5,e5g5,1,0,0
4b3c4d5e57f567g67_5a2b2c3d234e234,e4c4,1,0,0
4b3c4d5e3457f46g7_5b2c123d1234f5,d5f5,1,0,0
4b3c4d456e567f5g7_5b12c23d123e24,g7f6,1,0,0
4b3c4d456e567f56_5a1b2c23d123e24,f5c5,1,0,0
4b3c45d5e347f46g7_5b2c123d234e15,c5e5,1,0,0
4b3c45d45e67f34g7_5b5c123d123e24,d5b5,1,0,0
4b3c45d456e567f6_5a1b12c23d123e2,e6c6,1,0,0
4b3c45d456e4f6g4h7_5b45c6d8e56f57g7,d6b4,1,0,0
4b3c36d45e345f45_5d6e678f67g78h8,c6b5,1,0,0
4b3c34e67f345g57_5a1c12d12e2345,b3d3,1,0,0
4b3c34d67e5f56g6h7_5b24c2d234e47g5,f5d5,1,0,0
4b3c34d5e34f5g67h6_5d467e56f67g58,g7g5,1,0,0
4b3c34d5e34f57g6h6_5d467e567f68g5,f7g7,1,0,0
4b3c34d567e5f6g6h7_5b24c2d234e46g5,e5c5,1,0,0
4b3c34d567e5f6g6h7_5a2b24d234e47f5,d5f5,1,0,0
4b3c34d4e456f345_5c5d567f678g7h8,c4c2,1,0,0
4b3c34d45e345f34_5e678f567g578,c3f6,1,0,0
4b3c34d456e4f6g47_5b45c5d8e567f57,c3c5,1,0,0
4b3c34d456e345f5_5e678f67g678h8,c4f4,1,0,0
4b3c34d3e34f6g56h6_5c26d45e56f578,e4c2,1,0,0
4b3c34d345e4f67g4_5b45c5d67e567f5,d3d6,1,0,0
4b3c34d2345e7f6g8_5d67e56f78g567,g5g8,1,0,0
4b3c34d2345e456_5e123f34g345h4,d2c2,1,0,0
4b3c345d567f6g6h7_5b24c2d234e46f4,d6b4,1,0,0
4b3c345d45e345f5_5e67f678g678h8,c5d6,1,0,0
4b3c345d45e345f4_5e678f5678g78,c5f5,1,0,0
4b3c345d345e45f5_5e6f678g6789h8,d3e3,1,0,0
4b3c345d2456f6g6_5c6d8e4567f78g7,b3e6,1,0,0
